gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1305194603																										21325895													2016-09-09 15:10:45			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21325895				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				c354fecc-f250-4a56-bb12-760acdb35d48	MAJC0001638	147	Ernest Anderson					Adult																								1994-03-17		76		1994	3	17	17 March 1994															Mexico		Baja California	Ensenada		28 km S of Puertocitos, San Juan del Mar		10										30.129586	-114.63779	WGS84												Collin McMartin			Google Earth																								M. Andrew Johnston	2015												Eleodes discinctus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		discinctus				Blaisdell, 1925					
1305194602																										21325903													2016-09-09 15:10:45			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21325903				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				d0f28b11-aa0a-49fa-80c4-825e611f2eff	MAJC0001639	146	Ernest Anderson					Adult																								1994-03-17		76		1994	3	17	17 March 1994															Mexico		Baja California	Ensenada		28 km S of Puertocitos, San Juan del Mar		10										30.129586	-114.63779	WGS84												Collin McMartin			SCAN																								M. Andrew Johnston	2015												Eleodes discinctus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		discinctus				Blaisdell, 1925					
1305194601																										21326273													2016-08-29 19:21:56			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21326273				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				8e82cf31-11e3-4eca-9692-910675a162d2	MAJC0001676		Kirk C. Tonkel					Adult																								2010-06-29		180	207	2010	6	29	29Jun-21Jul 2010															USA		Nevada	Storey		Wadsworth, along Truckee Rvr		1250										39.612204	-119.307516	WGS84												Collin McMartin			Label																								M. Andrew Johnston	2015												Eleodes tenebrosus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		tenebrosus				Horn, 1870					
1305194600																										21325950													2016-09-09 15:10:45			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21325950				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				bd125b03-d9fc-4ec4-9632-9988e771e863	MAJC0001644	82	Ernest Anderson					Adult																								1993-08-30		242		1993	8	30	30 August 1993															Mexico		Baja California			22 km N El Rosario, Sandy bluff overlooking beach		30										30.230685	-115.78864	WGS84												Collin McMartin			SCAN																								M. Andrew Johnston	2015												Eleodes discinctus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		discinctus				Blaisdell, 1925					
1305194599																										21326248													2016-08-29 19:21:56			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21326248				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				ee4e1393-6c6b-4cbd-8c01-6dd13a3e0e5c	MAJC0001668		Kirk C. Tonkel					Adult																								2011-06-07		158		2011	6	7	07 Jun-06 Jul 2011															USA		Nevada	Storey		Wadsworth, along Truckee Rvr		1250										39.612156	-119.308585	WGS84												Collin McMartin			SCAN																								M. Andrew Johnston	2015												Eleodes tenebrosus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		tenebrosus				Horn, 1870					
1305194598																										21325565													2016-05-04 23:24:45			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21325565				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				0ec44bc8-31bb-42f4-a4a3-39e5e8b00f62	MAJC0001633		M. A. Johnston					Adult																								2015-04-15		105		2015	4	15	15.IV.2015															USA		Texas	Culberson		6 mi S of Van Horn		1200		1200m								30.9594	-104.8154	WGS84				30.9594, -104.8154								Collin McMartin			Label																								M. Andrew Johnston	2015												Eleodes spinipes								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		spinipes				Solier, 1848					
1305194597																										21326279													2016-08-29 19:21:56			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21326279				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				801af27e-9800-4aab-bebc-f1314ddfd48f	MAJC0001679		Kirk C. Tonkel					Adult																								2010-06-29		180	207	2010	6	29	29Jun-21Jul 2010															USA		Nevada	Storey		Wadsworth, along Truckee Rvr		1250										39.611892	-119.309199	WGS84												Collin McMartin			Label																								M. Andrew Johnston	2015												Eleodes tenebrosus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		tenebrosus				Horn, 1870					
1305194596																										21325990													2016-09-08 20:55:06			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21325990				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				75952354-a341-4fac-afe2-9715779dc87b	MAJC0001652	573	Ernest Anderson					Adult																								1993-08-10		222		1993	8	10	10 August 1993															Mexico		Zacatecas	Mazapil		69 km NW of Matehuala, 13 km E of Hwy 54		1800		1800m								24.109965	-101.371362	WGS84												Collin McMartin			Google Earth																								M. Andrew Johnston	2015												Eleodes scyropterus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		scyropterus				Triplehorn, 2007					
1305194595																										21325954													2016-09-09 15:10:45			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21325954				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				501a240d-9670-4a70-be6d-6ca8e61d777b	MAJC0001646	79	Ernest Anderson					Adult																								1993-08-30		242		1993	8	30	30 August 1993															Mexico		Baja California			22 km N El Rosario, Sandy bluff overlooking beach		30										30.230685	-115.78864	WGS84												Collin McMartin			SCAN																								M. Andrew Johnston	2015												Eleodes discinctus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		discinctus				Blaisdell, 1925					
1305194594																										21325935													2016-09-09 15:10:45			http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=21325935				http://creativecommons.org/publicdomain/zero/1.0/	M. Andrew Johnston										792ded92-38ec-4cb7-b69e-b44ea00880cf		MAJC	MAJC			PreservedSpecimen				c403787c-7208-4771-b54f-3fb907ab864e	MAJC0001642	84	Ernest Anderson					Adult																								1993-08-30		242		1993	8	30	30 August 1993															Mexico		Baja California			22 km N El Rosario, Sandy bluff overlooking beach		30										30.230685	-115.78864	WGS84												Collin McMartin			SCAN																								M. Andrew Johnston	2015												Eleodes discinctus								Animalia	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Eleodes		discinctus				Blaisdell, 1925					
